去程,回程
民安站,亞東科技大學(南雅南路)
民安國小,捷運亞東醫院站
民安陸橋,光華商職
民安路,板橋夜市(南雅南路)
後港社區,捷運府中站(府中路)
建福路口,萬坪公園
宏泰社區,新北板橋公車站
三洋,板橋車站(文化路)
營盤口,中山國中
捷運輔大站,致理科技大學
盲人重建院,板橋花市
海山里,捷運新埔站
新泰中正路口,捷運頭前庄站(思源路)
材試所,臺北醫院
新泰國中南站,思源復興路口
新莊棒球場(立功里立德里),幸福思源路口
新莊體育場(立功里),幸福新城
新莊田徑場(中和里),幸福中華路口
財元廣場,正邦社區
中華路,中華路
正邦社區,財元廣場
幸福中華路口,新莊田徑場(中和里)
幸福新城,新莊體育場(立功里)
幸福思源路口,新莊棒球場(立功里立德里)
仁義里,新泰國中南站
思源復興路口,材試所
臺北醫院,新泰路口
捷運頭前庄站(思源路),海山里
捷運新埔站,盲人重建院
致理科技大學,捷運輔大站
中山國中,營盤口
新民里,三洋(建福路)
新北板橋公車站,宏泰社區
捷運府中站,建福路口
南門街,後港社區
板橋夜市(南雅南路),民安路
光華商職,民安陸橋
捷運亞東醫院站,民安國小
亞東科技大學(南雅南路),民安站
南雅站,
